badge,first_name,last_name,department,phone,salary_cents,bonus_rate,birthday,state,zipcode,email,start_date
386941651,Daniel,Maxwell,Customer Support,474.080.6847x1092,13896438,0.83,1909-12-10,IN,47473,daniel.maxwell@company.com,1995-04-24
565432207,Sharon,Gibbs,IT,006.869.7440,19214653,1.05,1921-07-20,ID,83843,sharon.gibbs@company.com,1976-12-28
815573564,Robert,Jenkins,Customer Support,365-610-8057x634,5942240,0.92,1996-09-17,MI,48525,robert.jenkins@company.com,2020-12-05
054432372,Christopher,Clark,Operations,001-577-407-6538,16169446,0.81,1945-09-04,CO,81025,christopher.clark@company.com,2015-05-06
213038142,Sandra,Cook,Finance,001-470-633-4053x5283,17835981,1.33,1929-04-24,CT,06092,sandra.cook@company.com,1991-12-19
692699959,Michelle,Jenkins,Marketing,(218)403-8937,4975484,1.02,1941-08-28,AL,35895,michelle.jenkins@company.com,1975-04-25
844042066,Jordan,Becker,Operations,086.574.9337x6260,14025528,1.22,1954-06-20,LA,70972,jordan.becker@company.com,2021-12-28
853114206,William,Oliver,IT,3318178391,5606805,1.21,1966-11-10,WV,26100,william.oliver@company.com,2014-07-08
429637046,Robert,Flores,Customer Support,(105)479-1946,14904307,0.22,1941-11-10,OR,97403,robert.flores@company.com,1993-01-25
922390319,Kendra,White,Sales,011.140.9696,4635448,0.6,2000-07-14,WY,82723,kendra.white@company.com,2022-04-09
